food,description
어묵김말이,어묵 김밥용김 당면 양파 당근 깻잎 튀김가루 올리브유 적당량 간장 참기름
두부새우전,두부 당근 고추 브로콜리 새우 녹말가루 계란
알밥,밥 당근 치자단무지 신김치 무순 약간 날치알 김가루 약간 후리가케 참기름 약간 통깨 약간 계란 노른자
현미호두죽,현미 찹쌀 호두 물 소금 약간
북어갈비,북어포 찹쌀가루
토마토스파게티,파스타면
표고버섯탕수,건표고버섯 오이 당근 양파 사과 그외의 야채 과일 녹말가루 물 계란 노른자 물 설탕 식초 간장 녹말물
갈릭치킨,닭 통마늘 다진마늘 화이트와인또는우유 올리브유또는버터 마늘솔트또는소금 파인애플 마요네즈 머스터드 레몬즙 꿀
양파링튀김,빵가루 달걀 물 약간 파슬리
참치삼각김밥,밥 참치캔 큰거 양파 다진김치 김밥용김
뚝배기해물떡볶이,떡볶이떡 당근 파 양파 양배추 어묵 오징어 새우 조갯살 홍합살 고춧가루 고추장 물엿 간장 참기름 다진 마늘 깨 후추가루 약간
스팸샌드위치,스팸 싱글 샌드위치용 토마토 상추 치즈
참치깻잎주먹밥,밥 깻잎 참치 작은캔 조미
새우볶음밥고로케,새우 밥 김치 당근 감자 양파 빵가루 달걀 밀가루
스팸쌈밥,밥 상추나그외쌈야채 스팸 밑반찬
베이컨김치말이밥,밥 김치 베이컨 적당량 깻잎 양파
스팸오이식빵롤,식빵 스팸 오이 체다치즈
고구마치즈스틱,고구마 큰거 모차렐라치즈 버터 밀가루 빵가루 달걀
오징어볶음우동,오징어 양파 대파 당근 청고추 홍고추
호두가래떡구이,가래떡 호두 정도
카레새우삼각김밥,새우 양파 김치 밥지을쌀 김밥용김 계란 밀가루 빵가루
블루베리쨈,블루베리 설탕 레몬즙 럼 모닝빵
미니새우버거,모닝빵 새우 상추 토마토 피클 약간 마요네즈 다진양파 빵가루 밀가루 계란 소금 후추
고구마그라탕,고구마 으깬것 생크림 설탕 버터 아몬드슬라이스 모짜렐라치즈 우유 박력분 노른자 설탕 바닐라오일 약간 버터
밤식빵,국내산 제빵용 쌀가루 계란 우유 인스턴트 드라이 이스트 소금 버터 설탕 밤조림 아몬드 슬라이스 버터 설탕 노른자 박력분 바닐라오일 약간
고구마보트,고구마 생크림 버터 커스타드크림 설탕 소금 약간 소금 약간 설탕
감자스프,감자 생크림 우유 양파 베이컨 체다치즈 피자치즈 약간
뚝배기라면,좋아하는 종류의 라면 김치 굴 파 청 홍고추
포테이토스킨,감자 올리브유 약간 베이컨 모짜렐라치즈 파슬리 약간
오코노미야키,양배추 숙주 오징어 새우 베이컨 계란 실파 약간 밀가루 물 혼다시 후추 소금 약간
야끼만두,당면 부추 만두피
두부조림,손두부 포도씨유 소금 약간 꽈리고추 양파 대파 간장 물 설탕 물엿 요리당 굴소스 고춧가루 마늘 후춧가루
매운갈비찜,갈비 월계수잎 통마늘 후춧가루 청주 감자 양파
어묵볶음,어묵 포도씨유 적당량 꽈리고추 양파 느타리버섯 대파 물
버팔로윙스,닭날개 재움용 우유 머스타드 마요네즈 꿀 올리브유 버터 소스 고운고춧가루 케첩 후춧가루 다진마늘 핫소스 파슬리 오레가노
꼬마김밥,밥 김밥용어묵 오이 캔햄이나김밥용햄 김밥용단무지 김
홍시아이스크림,홍시 또는 대봉시 큰것 생크림
단호박사블레,박력분 단호박가루 버터 슈가파우더 호박씨 바닐라오일 약간 계란흰자 약간 설탕 약간
뮈슬리초코칩쿠키,박력분 버터 베이킹 파우더 베이킹 소다 계란 설탕 초코칩 유기농 초코 뮈슬리
아몬드타르트,버터 박력분 소금 설탕 계란 버터 크림치즈 설탕 생크림 계란 아몬드가루 코코넛가루 바닐라 오일 럼주 견과류 적당량
홍시요거트,홍시 큰것
파네토네,강력분 우유 인스턴드 드라이 이스트 소금 설탕 레몬즙 버터 계란 꿀 각종 당절임 과일 럼주 정도 토핑용 버터 약간
소고기크림치즈오븐스파게티,배추김치 김밥 속에 넣었던 소고기 체다치즈 스파게티 국수 모짜렐라 치즈 적당량
돼지고기김치찌개,돼지고기 아무부위나 감자 중간크기 양파 두부
밤머핀,박력분 버터 설탕 밤페이스트 장식용 밤조림 베이킹파우더 계란 우유 밤조림 바닐라오일 약간
찜닭,닭 중간크기 청양고추 건고추 양파 감자 당면 대파 물 생강즙 후춧가루 마늘 청주 설탕 간장 캬라멜소스 청양고추 후춧가루 다진마늘 참기름
바나나프렌치토스트,브리오슈슬라이스 바나나 계란 우유 버터 조금 베이컨 좋아하는 과일
단호박해물치즈구이,단호박 작은크기 낙지 작은크기 모듬해물 칵테일 새우 양파 작은크기 파프리카 대파 떡볶이떡 피자치즈 고추장 고춧가루 굴소스 다진마늘 후춧가루 설탕 요리당
파스타,앤젤헤어 파스타 명란 마늘 다진것 우메보시
갸토쇼콜라,박력분 코코아가루 다크초콜릿 버터 달걀 설탕 생크림 슈가파우더 생크림
찹스테이크,한우 우둔살 파프리카 피망 양파 큰것 새송이버섯 카놀라유 애호박 후춧가루 작은술 청주 허브솔트 바베큐소스 남은야채 소고기 소금 약간 카놀라유 적당량 굴소스 약간
바질페스토,바질잎 통마늘 잣 올리브오일 파마산치즈
포카치아,강력분 설탕 소금 몰트 양파 중간것 올리브 이상 올리브유 물 드라이이스트
흑미와플,흑미가루 노른자 설탕 소금 바닐라오일 약간 베이킹 파우더 우유 버터 흰자 설탕
쏘야볶음,후랑크소세지 파프리카 양파 큰것 당근 대파 올리브유 적당량
튜나에그샌드위치,식빵 양상추 슬라이스햄 토마토 양겨자 마요네즈 후추 약간 레몬즙 크림치즈 계란 다진양파
푸딩,우유 설탕 계란 바닐라오일 설탕 물
오븐웨지감자,감자 중간것
대추스콘,강력분 박력분 설탕 소금 베이킹 파우더 버터 건포도 달갈 우유 대추야자 씨뺀것 계란물 약간
사천짜장떡볶이,떡볶이떡 정도 양파 양배추 큰것 대파 어묵 쫄면 정도 물 또는 육수
미니고구마,고구마 중간것 생크림 적고구마가루 블럭모짜렐라치즈
바나나찹쌀떡,찹쌀가루 찬물 바나나 중간것 옥수수전분 적당량
카레어묵전골,어묵 팽이버섯 쑥갓 약간 당근 표고버섯 대파 물 백세카레가루 가쓰오부시장국
모카머핀,박력분 버터 설탕 베이킹파우더 계란 우유 초코칩
버섯포카치아,박력분 물 말린표고버섯 이스트
어묵,어묵 양배추 무 파 양파 건새우 약간 다시마 약간 청양고추
크림소스,홍합 베이컨 양파 파프리카 파슬리
파니니,강력분 몰트 인스턴트 드라이이스트 카놀라유 라이트 미지근한 물 소금 설탕
리코타치즈,우유 생크림
레몬생크림케이크,생크림 박력분 설탕 베이킹파우더 계란
시나몬큐브,박력분 버터 바닐라오일 아몬드파우더 소금 슈가파우더 베이킹파우더 시나몬파우더
초코바나나머핀,바나나 으깬것 토핑용 바나나 버터 설탕 박력분 코코아가루 초코칩 베이킹 파우더 베이킹소다 생크림 바닐라오일 약간
애호박사워크림케이크,박력분 버터 계란 설탕 애호박 우유 사워크림 베이킹 파우더 소금 바닐라오일 약간 박력 버터 설탕
브라우니,다크커버춰 버터 박력분 코코아 흑설탕 계란 인스턴트 커피 깔루아 견과류 적당히
피낭시에,백미가루 아몬드가루 슈가파우더 베이킹 파우더 바닐라가루 계란 흰자 트리몰린 버터
소세지크로와상,강력분 박력분 물 드라이 이스트 소금 설탕 버터 탈지분유 달걀 충전용 버터 달걀 물 약간
뮈슬리바,유기농 뮈슬리 버터 요리당 꿀 호박씨
그린티현미쉬폰,현미가루 노른자 우유 또는 물 말차가루 포피시드 흰자 설탕 카놀라유 또는 녹인버터
카레,돼지고기 당근 감자 파프리카 양파 올리브유
불닭퀘사디아,닭가슴살 각종 야채 홍피망 청피망 양파 청량고추 또띠아 스위트콘 올리브유 적당량 피자치즈 넉넉히 칠리소스 적당량 시즈닝솔트 굴소스 고추장 고춧가루 고추기름 후춧가루 칠리소스 다진마늘 굴소스 설탕 청주 시즈닝솔트 생강즙
계란빵,핫케이크가루 우유 슬라이스치즈 파슬리가루 약간 달걀 메추리알
초코칩머핀,루프 유기농 초코칩 머핀믹스 올리브유나 카놀라유 계란 우유
얼큰수제비,중력분 찬물 올리브유 소금 양파 호박 감자 큰것 대파 청량고추 다진 마늘 참치캔 작은것 느타리버섯 약간 물
시나몬롤,루프 유기농 통밀브레드믹스 우유 카놀라유 크림치즈 버터 슈가파우더 바닐라오일 약간 황설탕 또는 흑설탕 시나몬가루 땅콩분태
오이무침,오이
식빵꽃,강력분 박력분 우유 물 설탕 버터 인스턴트이스트 소금 녹차가루 따듯한물 적고구마 딸기쥬스가루 물
쇼콜라케이크,초콜렛 버터 박력분 코코아파우더 노른자 설탕 생크림 오렌지술 오렌지제스트 다크초코렛 건조딸기 조금 피스타치오 조금 흰자 설탕
전자렌지딸기찹쌀떡,딸기 녹말가루 팥소 찹쌀가루 물 설탕
닭고기샌드위치,닭고기안심살 베이비채소 파프리카 조금 식빵 허브솔트 올리브유 머스터드 꿀 바베큐소스 올리브오일 식초 꿀 소금 후추 조금 오렌지쥬스
깻잎떡볶이,떡볶이떡 어묵 양파작은거 양배추 조금 깻잎 물국대접
연어또띠아말이,또띠아 훈제연어 양파 오이 상추 오렌지 마요네즈 케이퍼
김치볶음밥,밥 김치 어묵 계란 파슬리 약간
바나나머핀,바나나 작은것 버터 박력분 설탕 계란 베이킹파우더 물엿 꿀 캬라멜소스 럼주 코코넛 슬라이스 조금 설탕 물
모밀국수,다시마 가다랑이포 모밀면 김 대파 유부
토마토카프레제샐러드,토마토 바질 생모짜렐라치즈 양파 약간 올리브오일 발사믹식초 꿀 소금 레몬즙 후춧가루 약간
오징어청양고추조림,오징어링 마른고추 큰것 다시마 약간 통마늘 청양고추
카야쨈호떡,호떡믹스 카야잼 피칸
초콜렛치즈머핀,초코머핀믹스 카놀라유 계란 흰자 크림치즈 노른자 슈가 파우더 크림치즈
샐러드오므라이스,찬 밥 양파 닭살 계란 식용유 물 샐러드 채소
두부치즈케익,두부 크림치즈 생크림 다이제쿠키 버터 계란노른자 설탕 레몬즙 오렌지술 오렌지액 박력분 흰자 설탕 물 설탕 콩
라볶이,멸치 다시마 말린표고버섯 물 떡볶이떡 어묵 대파 양파 삶은달걀 취향껏 라면
깡장,돼지고기 오징어 양파 큰것 홍고추 풋고추 청양고추 대파 멸치육수 생강술 또는 청주 다진 마늘 후춧가루 약간 참기름 시판쌈장 된장 고추장 맛술 다진 마늘 고춧가루
밤조림,밤
